close,net_change,date
2796.08,-13.65,1990-01-04 00:00:00.0
2773.25,-22.83,1990-01-05 00:00:00.0
2794.37,21.12,1990-01-08 00:00:00.0
2766,-28.37,1990-01-09 00:00:00.0
2750.64,-15.36,1990-01-10 00:00:00.0
2760.67,10.03,1990-01-11 00:00:00.0
2689.21,-71.46,1990-01-12 00:00:00.0
2669.37,-19.84,1990-01-15 00:00:00.0
2692.62,23.25,1990-01-16 00:00:00.0
2659.13,-33.49,1990-01-17 00:00:00.0
2666.38,7.25,1990-01-18 00:00:00.0
2677.9,11.52,1990-01-19 00:00:00.0
2600.45,-77.45,1990-01-22 00:00:00.0
2615.32,14.87,1990-01-23 00:00:00.0
2604.5,-10.82,1990-01-24 00:00:00.0
2561.04,-43.46,1990-01-25 00:00:00.0
2559.23,-1.81,1990-01-26 00:00:00.0
2553.38,-5.85,1990-01-29 00:00:00.0
2543.24,-10.14,1990-01-30 00:00:00.0
2590.54,47.30,1990-01-31 00:00:00.0
2586.26,-4.28,1990-02-01 00:00:00.0
2602.7,16.44,1990-02-02 00:00:00.0
2622.52,19.82,1990-02-05 00:00:00.0
2606.31,-16.21,1990-02-06 00:00:00.0
2640.09,33.78,1990-02-07 00:00:00.0
2644.37,4.28,1990-02-08 00:00:00.0
2648.2,3.83,1990-02-09 00:00:00.0
2619.14,-29.06,1990-02-12 00:00:00.0
2624.1,4.96,1990-02-13 00:00:00.0
2624.32,0.22,1990-02-14 00:00:00.0
2649.55,25.23,1990-02-15 00:00:00.0
2635.59,-13.96,1990-02-16 00:00:00.0
2596.85,-38.74,1990-02-20 00:00:00.0
2583.56,-13.29,1990-02-21 00:00:00.0
2574.77,-8.79,1990-02-22 00:00:00.0
2564.19,-10.58,1990-02-23 00:00:00.0
2602.48,38.29,1990-02-26 00:00:00.0
2617.12,14.64,1990-02-27 00:00:00.0
2627.25,10.13,1990-02-28 00:00:00.0
2635.59,8.34,1990-03-01 00:00:00.0
2660.36,24.77,1990-03-02 00:00:00.0
2649.55,-10.81,1990-03-05 00:00:00.0
2676.8,27.25,1990-03-06 00:00:00.0
2669.59,-7.21,1990-03-07 00:00:00.0
2696.17,26.58,1990-03-08 00:00:00.0
2683.33,-12.84,1990-03-09 00:00:00.0
2686.71,3.38,1990-03-12 00:00:00.0
2674.55,-12.16,1990-03-13 00:00:00.0
2687.84,13.29,1990-03-14 00:00:00.0
2695.72,7.88,1990-03-15 00:00:00.0
2741.22,45.50,1990-03-16 00:00:00.0
2755.63,14.41,1990-03-19 00:00:00.0
2738.74,-16.89,1990-03-20 00:00:00.0
2727.93,-10.81,1990-03-21 00:00:00.0
2695.72,-32.21,1990-03-22 00:00:00.0
2704.28,8.56,1990-03-23 00:00:00.0
2707.66,3.38,1990-03-26 00:00:00.0
2736.94,29.28,1990-03-27 00:00:00.0
2743.69,6.75,1990-03-28 00:00:00.0
2727.7,-15.99,1990-03-29 00:00:00.0
2707.21,-20.49,1990-03-30 00:00:00.0
2700.45,-6.76,1990-04-02 00:00:00.0
2736.71,36.26,1990-04-03 00:00:00.0
2719.37,-17.34,1990-04-04 00:00:00.0
2721.17,1.80,1990-04-05 00:00:00.0
2717.12,-4.05,1990-04-06 00:00:00.0
2722.07,4.95,1990-04-09 00:00:00.0
2731.08,9.01,1990-04-10 00:00:00.0
2729.73,-1.35,1990-04-11 00:00:00.0
2751.8,22.07,1990-04-12 00:00:00.0
2763.06,11.26,1990-04-16 00:00:00.0
2765.77,2.71,1990-04-17 00:00:00.0
2732.88,-32.89,1990-04-18 00:00:00.0
2711.94,-20.94,1990-04-19 00:00:00.0
2695.95,-15.99,1990-04-20 00:00:00.0
2666.67,-29.28,1990-04-23 00:00:00.0
2654.5,-12.17,1990-04-24 00:00:00.0
2666.44,11.94,1990-04-25 00:00:00.0
2676.58,10.14,1990-04-26 00:00:00.0
2645.05,-31.53,1990-04-27 00:00:00.0
2656.76,11.71,1990-04-30 00:00:00.0
2668.92,12.16,1990-05-01 00:00:00.0
2689.64,20.72,1990-05-02 00:00:00.0
2696.17,6.53,1990-05-03 00:00:00.0
2710.36,14.19,1990-05-04 00:00:00.0
2721.62,11.26,1990-05-07 00:00:00.0
2733.56,11.94,1990-05-08 00:00:00.0
2732.88,-0.68,1990-05-09 00:00:00.0
2738.51,5.63,1990-05-10 00:00:00.0
2801.58,63.07,1990-05-11 00:00:00.0
2821.53,19.95,1990-05-14 00:00:00.0
2822.45,0.92,1990-05-15 00:00:00.0
2819.68,-2.77,1990-05-16 00:00:00.0
2831.71,12.03,1990-05-17 00:00:00.0
2819.91,-11.80,1990-05-18 00:00:00.0
