symbol,name,yahoo_symbol
ADDA,AMEX Advance - Decline
ADDE,ETFs  Advance - Decline
ADDN,NYSE Advance - Decline
ADDQ,NASD Advance - Decline
ADDT,Stocks Advance - Decline
ADR,AMEX Internationl Market Index
ADRA,AMEX Advance Decline Ratio
ADRD,OTC Advance Decline Ratio
ADRE,ETFs  Advance Decline Ratio
ADRN,NYSE Advance Decline Ratio
ADRQ,NASD Advance Decline Ratio
ADRT,Stocks Advance Decline Ratio
ADVA,AMEX Advancing Stocks
ADVD,OTC Advancing Stocks
ADVE,ETFs  Advancing Stocks
ADVN,NYSE Advancing Stocks
ADVQ,NASD Advancing Stocks
ADVT,Stocks Advancing Stocks
AEX,AEX General - Netherlands
AMZ,Alerian Mlp Index
ASHD,AMEX Declining Stocks
ASHF,AMEX Advances - Declines
ASHR,AMEX Advance Decline Ratio
ASHU,AMEX Advancing Stocks
ATX,ATX - Austria
AVDA,AMEX Advances - Declines Volume
AVDD,OTC Advance - Decline Volume
AVDE,ETFs  Advances - Declines Volume
AVDN,NYSE Advances - Declines Volume
AVDQ,NASD Advances - Declines Volume
AVLD,AMEX Declining Volume
AVLF,AMEX Advance Decline Volume Diff
AVLR,AMEX Advance Decline Vol Ratio
AVLU,AMEX Advancing Volume
AVRA,AMEX Advance / Decline Volume
AVRD,OTC Advance / Decline Volume
AVRE,ETFs  Advance / Decline Volume
AVRN,NYSE Advance / Decline Volume
AVRQ,NASD Advance / Decline Volume
AVRT,Stocks Advance / Decline Volume
AVVA,AMEX Advancing Volume
AVVD,OTC Advancing Volume
AVVE,ETFs  Advancing Volume
AVVN,NYSE Advancing Volume
AVVQ,NASD Advancing Volume
AVVT,Stocks Advancing Volume
BANK,Nasdaq Bank
BCMM,Barchart Market Momentum Index
BDI,Baltic Dry Index
BFX,BEL 20 - Belgium
BJE,NYSE Arca Mini-Biotechnology In-
BSESN,BSE 30 - India
BTD,Biotech Boxes Indicative Value
BTK,AMEX Biotechnology Index
BTS,AMEX Biotechnology Index Final
BUX,B2B Internet Holdrs Index
BVSP,Bovespa - Brazil
BXD,CBOE DJIA BUYWRITE INDEX
BXM,CBOE BUYWRITE MONTHLY INDEX
BXN,CBOE BUYWRITE MONTHLY INDEX
BXR,CBOE RUSSELL 2000 BUYWRITE INDE
BXY,CBOE S& P 500 BUYWRITE    INDEX
BZJ,NYSE Arca Mini-Oil Index
CAC40,Paris CAC 40
CEX,S& P Chemicals Index
CIB,CRB Continuous Index
CIE,STOWE COAL INDEX EUR
CIU,STOWE COAL INDEX USD
CIV,Cboe/Cbot Corn Volatility Index
CKG,S&P 600 Barra Grwth
CMR,Morgen Stanley Consumer Index
COMP,Nasdaq Composite
CPH,AMEX China Settle
CPR,Copper Index
CRB,CRB Index
CRE,CRB Nonenergy Total
CRS,CRB Nonenergy Excess
CRT,CRB Total Return
CRX,AMEX M/S Commodity Relate Equity
CSO,Morgan Stanley Consumer Index F
CTM,Credit Suisse First Boston Tech
CTN,Csfb Technology Index
CVK,Smcp 600Barr Val
