A,20111007,32.29,32.64,30.43,31.37,8089600
AA,20111007,10.19,10.24,9.51,9.71,44888700
AAN,20111007,25.55,26.05,25.3,25.56,465800
AAP,20111007,59.65,60.05,58.69,59.04,509800
AAR,20111007,18,18,16.18,16.41,54300
AAT,20111007,17.9,18.24,17.35,17.41,196900
AAV,20111007,4.25,4.3,3.95,4,392000
AB,20111007,13.98,13.99,13.17,13.35,259400
ABB,20111007,17.7,17.94,17.59,17.65,4812800
ABC,20111007,36.21,36.42,35.33,35.78,3512800
ABD,20111007,5.19,5.25,4.93,4.95,359200
ABG,20111007,18.45,18.77,17.66,17.86,293600
ABH,20111007,15.66,15.7,15.2,15.3,223900
ABM,20111007,19.75,19.91,18.88,19.1,184100
ABR,20111007,3.36,3.37,3.21,3.22,84700
ABT,20111007,51.59,52,51.39,51.53,28702100
ABV,20111007,32.3,33.12,32,32.05,3306100
ABV.C,20111007,25.77,26.41,25.66,25.68,10400
ABVT,20111007,55.89,56.69,54.64,54.74,127200
ABW-A,20111007,24.65,25.7,24.62,24.8,18600
ABX,20111007,48.53,48.62,46.29,46.64,5677000
ACC,20111007,37.66,37.74,36.54,36.68,865200
ACE,20111007,61.97,62.01,60.2,60.34,2054200
ACG,20111007,7.83,7.84,7.77,7.83,442200
ACH,20111007,11.92,11.92,11.4,11.46,341800
ACI,20111007,15.99,16.11,15.01,15.34,6685000
ACM,20111007,18.83,18.89,17.8,18.04,803900
ACN,20111007,55.49,56.98,55.29,55.92,5928000
ACO,20111007,25.44,25.75,24,24.21,138900
ACP,20111007,15.48,15.48,14.91,15.18,26300
ACTV,20111007,15.68,15.74,14.27,14.4,62500
ACW,20111007,5.5,5.58,5,5.15,665000
ADC,20111007,22.58,22.58,22.06,22.11,65900
ADI,20111007,34.06,34.74,33.73,34.25,4439400
ADM,20111007,26.08,26.2,25.34,25.45,4853300
ADS,20111007,94.67,96.15,93.44,94.6,664600
ADX,20111007,9.43,9.47,9.3,9.35,90700
ADY,20111007,4.99,5.41,4.74,5,67900
AEA,20111007,7.37,7.7,7.33,7.52,562200
AEB,20111007,17.78,17.9,17.47,17.49,29900
AEC,20111007,15.86,15.86,15.07,15.12,257500
AED,20111007,19.17,19.76,19.17,19.62,55100
AEE,20111007,29.25,29.66,29.14,29.25,2066200
AEF,20111007,21.9,22.11,21.45,22.01,112900
AEG,20111007,4.44,4.45,4.29,4.31,982700
AEH,20111007,19.49,19.68,19.07,19.62,70700
AEL,20111007,9.29,9.35,9.04,9.11,858500
AEM,20111007,59.84,59.99,56.36,57.21,2278800
AEO,20111007,12.26,12.29,11.97,12.05,3067100
AEP,20111007,37.79,38.09,37.5,37.74,3519900
AEP-A,20111007,28.3,28.41,28.15,28.25,8700
AER,20111007,9.77,10.03,9.39,9.6,729000
AES,20111007,10.21,10.22,9.86,10.02,6427500
AES-C,20111007,48.14,48.61,48.02,48.31,2200
AET,20111007,35.78,35.85,34.65,35.47,7455700
AEV,20111007,20.4,20.79,20.26,20.76,39400
AF,20111007,8.7,8.71,8.34,8.43,2059400
AFB,20111007,13.62,13.67,13.43,13.51,48200
AFC,20111007,21.82,21.85,21.64,21.85,4400
AFE,20111007,25,25.05,24.76,24.77,11200
AFF,20111007,19.22,19.57,18.81,19.18,55900
AFG,20111007,32.67,32.82,31.92,31.94,651100
AFL,20111007,38.39,38.48,36.57,36.63,6348600
AFQ,20111007,25.97,25.97,24.24,25.66,14000
AFT,20111007,15.3,15.37,15.17,15.27,15700
AG,20111007,17.07,17.32,15.67,15.95,1524900
AGC,20111007,6.21,6.21,6.08,6.1,95900
AGCO,20111007,35.44,35.99,34.63,34.9,2351400
AGD,20111007,5.45,5.45,5.3,5.37,88600
AGL,20111007,40.82,41.18,40.26,40.44,361800
AGM,20111007,18.31,18.71,17.73,18.14,104900
AGM.A,20111007,11.91,12.25,11.91,12.25,500
AGN,20111007,82.37,82.37,81.19,81.5,1261700
AGO,20111007,11.46,11.47,10.95,10.99,1302200
AGO-B,20111007,23.59,23.59,23.41,23.44,1700
AGO-E,20111007,22.25,22.39,20.85,21.43,21700
AGO-F,20111007,18.56,18.56,18.08,18.08,4300
AGP,20111007,42.58,43.35,41.52,42.44,1368600
AGRO,20111007,7.73,7.83,7.44,7.44,183200
AGU,20111007,71.51,71.99,67.89,68.71,1801400
AH,20111007,22.41,22.42,20.53,20.74,581100
AHC,20111007,4.61,4.61,4.28,4.3,47800
AHL,20111007,24.04,24.04,23.06,23.07,500700
AHL-A,20111007,24.7,24.74,24.61,24.61,2700
AHS,20111007,4.06,4.14,3.96,3.98,275000
AHT,20111007,7.37,7.37,6.82,6.87,598000
AHT-A,20111007,23.18,23.18,22.73,22.73,800
